CPGfrac	RPKM	H3K27ac	H3K27me3	H3K36me3	H3K4me1	H3K4me3	H3K9me3	Input
196541	9	0	14	22	17	8	5	11	13
196872	10	0	16	11	12	11	7	8	17
196913	8.5	0	38	4	13	64	4	8	16
197	5	0	11	31	9	34	5	6	18
197003	8	0	11	20	11	9	6	10	17
197021	8	1	19	16	13	20	8	10	24
197131	0	10	52	4	9	24	104	6	15
1993	2	0	12	21	14	9	5	26	15
199675	0	0	18	34	6	70	6	12	18
199699	2	0	17	16	8	45	33	7	21
199704	0	4	49	5	9	32	78	7	16
199777	8	4	52	4	24	50	90	6	23
199786	8	61	53	4	19	60	17	13	21
1998	10	23	16	12	17	12	4	6	17
199834	6	0	18	19	14	8	7	14	14
1999	10	0	16	8	26	8	7	12	20
199920	4	0	14	23	11	17	8	13	20
199974	3	0	8	16	10	10	7	15	5
200008	10	0	13	16	16	10	10	8	16
2001	9	0	11	19	9	17	6	10	18
200159	7	0	14	26	12	20	6	7	11
200232	10	4	13	18	8	9	9	13	14
200261	8	0	13	18	9	9	5	13	19
200315	9	0	19	17	8	18	9	9	20
200316	6	8	57	5	23	45	75	6	18
200420	8	1	11	22	12	7	4	9	13
200504	8	0	10	20	11	7	4	4	15
200523	8	0	12	20	13	11	10	11	18
200539	10	3	16	7	15	12	7	6	23
200728	7	0	17	33	13	10	7	22	18
200810	10	0	4	20	11	8	6	9	9
200879	10	0	9	17	12	6	5	12	18
200909	10	0	14	23	15	19	8	12	13
200958	9	1	44	30	16	43	19	13	37
201140	9	0	9	13	14	8	7	14	17
2012	4	0	19	25	12	46	7	9	10
201266	4	3	33	13	6	49	70	5	19
201305	8	0	17	36	13	55	7	15	22
2014	8	111	58	5	17	66	112	5	18
2015	5.5	0	10	28	15	10	6	20	3
201516	8	0	13	22	9	16	8	8	15
201617	10	0	13	17	11	9	8	14	11
201625	9	0	17	21	9	47	7	8	15
201633	0	9	58	4	6	68	20	6	19
201651	7	0	19	17	14	10	10	12	16
201799	0	62	54	3	7	52	85	4	13
202052	2	2	68	8	8	47	108	4	17
202151	6	0	12	17	11	13	7	11	10
202309	0	7	4	4	3	56	4	4	1
202459	9	1	42	5	17	40	7	6	15
202865	10	0	13	26	14	9	8	11	16
203074	7	0	16	32	12	10	8	12	22
203413	9	0	11	8	6	2	3	5	8
203430	10	0	8	6	3	8	4	4	7
2038	9	0	17	21	12	9	8	8	17
2042	0	0	11	27	12	23	7	21	10
204474	9	0	17	15	11	5	6	9	16
204801	10	0	14	18	13	9	6	14	18
204962	9	0	9	20	11	9	7	7	12
205251	7	1	9	16	10	6	6	14	8
205860	4	0	12	11	12	7	5	13	12
206358	6	2	8	19	9	5	7	7	4
206412	9	1	7	6	15	9	6	4	14
2067	0	17	42	10	9	36	43	6	16
2103	8	0	13	28	16	7	9	13	15
2113	9	132	8	11	13	11	4	8	15
212	10	0	4	5	6	1	2	4	3
2123	0	18	25	5	5	33	5	8	13
2124	0	360	32	2	6	10	121	7	5
2125	10	0	13	17	12	8	6	7	23
213	9	0	7	19	10	4	5	9	16
2132	10	8	13	9	45	9	8	9	16
2138	0	0	16	39	10	18	11	16	15
2151	9	0	13	5	14	16	7	6	7
2153	0	0	22	20	6	52	7	7	12
216	8	0	12	16	12	4	7	14	15
2160	6	0	14	18	13	11	6	14	18
2162	0	0	16	30	6	57	22	9	16
2165	9	0	14	14	10	6	6	15	5
2168	8	0	17	25	13	8	5	13	16
2169	9	0	7	14	6	7	5	6	14
2170	0	0	36	34	11	75	20	7	25
2172	3	0	10	31	12	16	12	14	21
2173	8	0	14	16	12	8	8	7	5
218	10	0	15	8	13	28	7	5	20
219285	0.5	20	15	7	13	47	35	4	1
219293	9	1	12	23	12	10	6	10	20
219432	6	0	10	10	9	6	7	15	8
219436	6.5	0	5	9	16	6	8	13	4
219437	5	0	8	11	9	6	9	9	1
219438	8	0	9	8	9	7	7	9	16
219445	9	0	11	10	6	4	5	12	16
219469	8	0	13	15	12	7	7	11	9
219479	5	0	2	8	9	5	5	11	1
219484	8	0	10	9	13	5	10	12	17
219493	5.5	0	10	20	9	4	7	11	5
219537	10	2	16	6	18	9	5	8	22
219539	0	0	27	30	7	69	10	7	20
219595	4	0	6	8	3	2	4	5	1
2196	10	0	13	20	13	20	5	12	15
219670	9	0	22	32	16	15	7	13	13
219681	3	0	12	40	14	24	9	22	21
219770	8	0	14	36	13	17	5	14	18
219771	10	35	13	17	12	10	10	12	12
219793	6	0	12	28	11	8	5	15	20
219844	10	1	17	12	10	6	6	6	13
219858	5	0	8	13	13	11	7	8	6
219869	7	0	13	16	12	8	9	15	15
219870	4	0	12	17	14	10	5	10	17
219873	8	0	23	17	9	5	11	14	17
219874	7	0	11	17	12	6	8	13	10
219875	8	0	15	20	17	5	9	16	14
2199	8.5	0	14	24	11	5	7	11	19
219938	5	0	8	14	14	6	8	16	10
219952	7	0	9	25	14	8	7	14	15
219954	6	0	13	26	10	9	5	15	18
219956	6	0	13	27	10	9	7	15	16
219957	9	0	17	13	12	6	9	10	15
219960	10	0	11	19	12	7	10	17	17
219965	5.5	0	8	19	7	8	4	9	4
219968	3	0	10	11	16	41	3	5	12
219972	0	38	45	6	8	64	54	4	10
219981	10	0	10	24	10	8	3	10	10
219982	9	0	16	17	11	5	7	8	11
219983	8	0	11	25	12	8	6	12	11
219986	8	0	16	21	15	10	9	11	21
219990	8.5	0	8	11	13	9	5	10	11
219995	8.5	0	9	29	13	9	7	17	15
220004	8	1	24	32	15	13	6	10	24
220032	6	0	12	22	10	6	4	8	17
220070	6.5	0	11	19	12	8	8	11	17
220081	2.5	0	12	34	14	14	7	13	17
220082	2	0	10	22	14	6	9	9	5
220296	8	0	10	24	10	9	11	10	10
220388	10	0	15	11	11	8	8	8	22
2204	9	0	9	19	11	6	10	18	15
220429	9.5	0	15	22	8	5	5	17	14
220594	9	0	11	10	9	4	2	7	6
2206	6	0	5	24	7	2	3	11	7
2207	10	0	15	10	25	43	5	6	14
2208	5	291	87	5	9	65	17	4	18
2209	2	0	4	17	4	11	5	3	3
221044	9	0	14	22	14	10	7	10	20
221074	10	0	14	17	8	14	4	13	13
221091	10	0	16	18	34	12	7	7	18
221122	10	0	14	15	10	9	5	8	22
221188	0	0	18	31	8	64	8	11	16
221191	9	0	16	13	14	6	8	10	14
221223	5	0	11	25	11	9	7	15	11
221241	7	0	12	25	18	4	4	9	4
221262	10	0	15	22	10	8	5	7	13
221301	8	0	9	19	9	13	7	9	14
221302	2	7	55	10	7	27	112	8	23
221357	8.5	0	4	29	10	4	9	11	3
221391	4	0	7	14	8	35	6	7	1
221393	7.5	0	4	18	7	5	8	7	3
221395	7	0	10	17	9	9	8	12	14
2214	8	0	14	14	13	13	7	10	21
221416	6	0	14	28	12	22	6	11	20
221438	8	0	18	20	8	14	6	10	12
221476	9	0	19	18	11	23	6	8	20
221477	10	19	9	6	21	17	5	7	13
221481	7	1	10	8	11	33	5	5	19
221584	9	0	12	14	21	6	4	16	18
221692	8	3	11	16	7	8	7	13	2
221718	7	0	12	14	11	37	6	14	18
221823	9	0	13	17	12	7	12	17	19
2219	8	0	11	20	14	6	6	17	23
222	8	0	11	21	12	5	6	9	11
2220	8	0	14	25	11	8	7	12	21
222029	2	0	12	12	12	11	9	19	18
222161	10	33	6	3	16	9	8	4	1
222389	8	0	16	24	13	19	7	14	17
222611	5	0	15	30	13	8	7	8	8
222642	10	1	14	7	19	11	6	7	24
222696	6	0	16	34	13	14	6	25	22
222826	9	0	15	21	14	7	11	12	17
222901	8	2	6	17	14	9	8	12	4
223075	5	0	1	8	7	2	5	8	4
2243	7	0	11	21	9	6	4	7	11
2246	4.5	0	12	29	16	16	13	31	11
225	0	3	36	5	8	36	82	5	16
2257	0	0	11	22	6	17	5	16	7
2266	7.5	0	7	19	14	7	13	8	8
2267	9	0	8	14	8	4	5	4	1
2274	7	0	16	32	14	12	9	13	21
22797	0	45	19	6	4	39	3	4	2
22798	10	0	4	16	10	3	9	11	8
22800	10	24	21	9	16	9	6	6	14
22802	9	0	7	22	9	8	6	19	15
22818	9	41	63	8	7	43	86	4	23
2282	10	1	14	5	29	11	9	10	19
22836	6.5	0	18	28	14	11	7	11	18
22865	1	0	15	28	10	11	5	17	23
22891	9	0	11	14	9	2	10	5	5
22897	10	7	12	16	10	7	8	15	16
22899	9	0	16	23	12	14	5	7	21
22900	6	12	59	5	12	58	86	6	12
22906	0	43	37	6	25	60	8	21	19
22914	4.5	32	23	17	9	10	5	13	11
22917	8.5	0	17	25	11	10	12	13	23
22926	0	13	70	5	7	27	115	6	21
22930	0	19	57	6	9	47	111	6	19
22941	9	0	12	16	12	5	5	28	17
22952	6	0	12	26	9	9	7	12	10
22973	10	7	20	8	12	10	6	8	17
23007	2	0	8	16	11	5	7	9	1
23022	7	0	7	11	8	4	8	8	10
23026	3	0	9	13	11	9	10	8	3
23040	8	0	11	11	12	10	6	12	12
23060	10	14	13	9	29	15	5	6	14
23111	8	0	15	18	11	8	10	13	20
2313	0	21	21	29	8	68	35	10	18
23132	10	7	12	6	26	18	10	6	18
23135	1.5	32	39	4	19	53	5	5	13
2315	9	3	13	11	14	12	5	8	10
23165	0	19	64	20	5	22	184	5	17
23175	6.5	1	12	35	15	9	9	23	18
23205	4	0	16	27	7	15	6	10	14
23209	0	0	21	29	11	57	8	32	21
23213	0	0	10	15	10	9	4	9	1
23236	9	0	8	21	12	5	7	9	14
23256	0	16	69	5	7	40	119	6	15
2326	9	1	11	6	8	39	10	5	1
23266	2	0	2	12	5	22	5	7	1
2327	8	0	10	9	8	8	9	11	6
2328	9	2	16	5	16	8	7	7	11
23281	7	0	18	19	12	12	6	15	11
23285	9	2	9	10	15	7	9	10	14
2329	4	4	22	6	15	42	6	13	12
2330	1	4	43	5	15	39	103	6	14
23301	7	4	14	16	9	7	4	7	2
23309	0	17	29	13	15	47	113	4	23
2331	0	147	63	4	15	55	81	5	19
23329	9	0	18	21	10	7	5	8	18
23367	10	32	18	13	12	15	5	8	19
23370	10	63	22	7	41	10	6	6	20
23380	10	5	9	6	10	10	5	4	6
23409	6	0	14	5	8	39	55	5	19
23421	0	9	63	3	10	29	84	2	15
23426	8	0	6	15	12	6	4	8	8
23428	0	0	11	24	9	48	23	9	15
23434	8	0	14	30	18	10	7	10	20
23436	9	0	11	28	12	9	11	11	18
23475	2	0	30	7	9	46	27	6	16
2348	10	0	13	16	15	5	7	8	15
23481	0	14	15	15	8	45	52	5	15
23491	5	0	18	16	10	32	5	9	24
23495	0	45	80	6	5	72	79	6	19
2350	9	2	22	9	9	45	6	6	13
23503	0	4	45	4	9	56	95	8	17
23510	0	13	28	8	7	44	34	7	15
23511	10	21	14	7	21	10	8	5	22
23519	8	0	7	18	7	5	6	13	3
2352	10	0	17	15	12	16	5	12	18
23520	8	1	9	10	8	5	7	7	6
23549	5	12	12	24	13	7	6	9	15
23550	0	50	75	6	14	56	89	4	19
23553	9	0	15	19	11	9	6	15	12
2356	7	22	22	5	30	54	9	8	19
23562	8	0	10	22	15	13	8	14	14
23563	10	0	12	6	19	10	9	7	11
23569	4	0	12	23	11	8	10	10	20
2357	9	0	11	15	14	9	8	22	7
23574	6	0	14	18	10	7	6	25	19
2358	9	0	12	25	14	12	5	16	14
23581	8	0	6	24	10	6	8	16	9
23583	2	2	10	7	10	28	69	6	13
2359	7	0	10	28	14	7	7	17	11
23591	0	1	31	9	10	42	96	7	23
23601	5.5	0	14	16	10	14	4	9	11
23627	0	0	51	8	6	42	15	4	17
23629	10	0	10	4	28	10	9	9	12
23632	2	3	18	27	9	30	6	6	11
23643	1	14	39	5	6	48	69	7	17
23657	2.5	0	12	24	12	17	8	13	11
23683	9	18	23	5	28	33	6	4	15
23766	10	0	10	17	10	7	4	8	15
23767	2	0	12	13	15	7	5	19	17
23779	4	0	13	32	11	21	8	24	23
23780	0	6	52	5	9	60	81	3	21
24	8	0	8	17	8	7	8	12	13
241	10	35	16	11	10	24	6	6	11
24139	0	6	26	16	4	45	34	5	16
2444	5	1	15	17	10	35	25	9	6
245	8	0	22	18	8	38	18	10	17
245711	9.5	8	5	7	37	4	2	7	11
245802	6	0	6	18	7	11	4	9	1
245812	0	4	52	9	11	49	81	5	19
245910	8	0	13	14	7	4	4	3	18
245911	10	0	10	10	7	5	4	14	6
245913	5.5	0	6	13	8	3	7	10	9
245915	5	0	8	15	5	5	9	9	15
245929	3.5	0	8	15	9	9	7	14	1
245930	3.5	0	5	11	12	8	7	16	1
245932	4	0	12	18	12	8	7	11	14
245934	7	0	6	27	11	7	8	11	3
245936	8	0	14	21	16	12	6	9	17
245938	6	0	3	26	5	3	2	9	1
245939	8	0	7	21	17	7	11	26	5
245940	10	0	7	13	12	3	3	12	12
245972	8	0	9	22	11	9	7	10	9
246119	9	0	3	6	8	5	3	4	4
246176	8	0	15	24	8	21	5	8	17
246182	10	0	17	5	23	10	6	9	20
246213	5	0	11	22	9	9	5	9	17
246329	10	3	14	8	12	11	10	8	17
246705	0.5	0	5	8	12	5	7	9	1
246754	9	0	13	8	25	10	7	8	16
247	3	0	15	33	7	25	8	12	16
2494	8	0	13	36	12	24	7	17	18
2515	9	0	13	12	16	5	7	16	15
2516	10	0	9	30	10	7	7	11	24
2520	8	0	12	32	9	10	6	14	18
2523	10	0	11	29	11	13	5	18	18
2525	8	0	16	25	13	8	10	8	20
2528	8	0	13	27	14	24	6	11	18
253012	8	0	1	13	5	16	3	3	2
253044	4	0	12	26	10	7	6	9	22
2532	7	0	13	28	14	9	7	12	15
2533	8.5	0	11	22	13	11	6	8	19
253461	10	28	10	8	9	5	5	6	4
253573	10	0	16	11	13	12	6	10	13
2537	6.5	7	39	4	7	56	44	6	14
2538	9	0	11	27	12	11	7	12	12
254013	10	1	16	11	11	42	5	6	17
254050	4	0	14	35	14	28	8	10	15
254187	10	0	16	6	10	17	4	6	20
254228	6	0	9	8	6	45	7	11	9
254240	8	0	10	27	8	7	5	10	8
254295	9	0	20	22	13	31	5	7	19
254312	7	0	10	21	13	11	8	18	12
254528	8	0	15	22	10	5	6	10	15
254773	9.5	1	13	12	14	9	9	8	11
254778	9	0	14	24	11	14	6	8	16
254879	8	0	15	19	14	7	8	20	14
254896	7	0	13	21	9	21	5	5	21
254910	5	0	12	26	9	11	7	18	16
254950	6	0	6	9	12	6	4	18	9
254973	9	0	14	18	18	8	6	31	9
255189	10	0	21	9	12	9	7	5	20
255220	8	0	2	10	4	3	3	9	1
255275	9	0	15	18	13	8	7	7	17
255324	5	0	5	8	7	5	3	4	9
255330	6	0	13	34	11	9	7	16	22
255349	9	0	9	19	9	11	8	15	17
2554	0	0	11	32	10	13	5	15	14
255411	10	0	12	21	9	6	6	14	16
255654	8.5	0	17	16	15	8	5	11	18
255725	5	0	12	24	14	8	5	11	2
255798	10	0	6	17	17	5	6	31	11
255809	5	1	15	27	16	21	7	31	13
2559	3	0	6	18	7	10	10	9	1
255926	8	0	11	14	14	7	8	11	17
256144	2.5	0	27	34	19	11	11	19	11
256148	6.5	0	12	23	15	6	8	12	12
2562	6	0	14	16	11	7	8	14	22
256223	10	0	13	22	11	9	7	7	15
256236	0	231	43	4	9	45	103	7	22
256380	0	2	27	16	7	35	34	8	13
256394	1	0	10	12	8	6	8	11	2
2565	4.5	0	12	21	14	13	6	17	11
2566	2	0	8	26	8	10	6	16	6
256643	10	3	8	6	14	5	5	4	8
256646	6	0	50	6	15	45	118	11	19
256710	0	0	9	12	4	42	7	6	12
256764	0	0	7	30	4	5	3	13	1
2568	7	0	15	16	12	10	7	10	20
256892	4	0	9	14	7	11	8	15	16
256957	10	0	17	13	12	8	7	10	17
2570	10	1	14	6	31	16	5	5	11
257044	9	0	10	13	9	9	5	8	14
257101	7	0	25	7	12	64	5	6	18
257106	0	58	78	4	12	38	117	5	19
257144	2.5	0	13	30	8	35	5	10	8
257177	9	2	10	7	12	21	3	5	12
257202	5	0	18	22	8	9	11	11	10
257203	0	0	33	7	9	66	43	6	20
257358	0	1	43	4	6	57	15	5	11
25758	5.5	0	16	27	8	11	7	10	16
257629	9	0	12	18	10	7	8	9	10
25763	8	0	9	14	8	4	5	10	5
25770	7.5	0	18	34	13	12	8	7	19
25780	8.5	29	8	21	13	9	6	7	15
25786	10	3	12	7	39	11	7	8	22
25787	8	3	16	38	13	11	8	9	26
25791	8	0	19	26	12	11	9	10	20
258	9	0	13	17	12	9	11	11	13
25802	0	0	17	26	10	28	12	9	20
25818	8	0	13	22	8	10	10	14	18
25826	9	2	9	3	50	21	6	5	13
25828	0	28	56	6	20	35	101	6	20
25832	9	8	14	11	22	7	7	13	16
25833	2	0	9	27	13	13	7	13	19
25834	9	0	8	7	9	7	5	9	14
25840	0	36	39	2	5	29	97	3	15
25859	8	0	16	10	9	4	4	8	10
25876	0	0	21	9	15	54	40	7	15
25890	7	0	21	10	10	9	3	12	12
25891	2	0	11	27	14	8	6	11	5
259	8	0	13	25	13	9	8	15	21
2590	9	8	13	15	10	8	6	7	21
259234	6	0	13	22	11	8	10	15	19
259240	6	0	13	28	10	17	5	13	18
259249	8	0	14	21	14	10	9	14	24
259266	0	0	15	8	6	26	119	8	19
25928	6.5	0	6	18	10	5	5	9	3
259283	9	1	40	8	10	65	7	5	19
259285	5.5	0	11	26	11	8	7	11	1
259286	2.5	0	14	25	10	9	7	7	5
259287	8	0	12	16	17	6	8	11	12
259290	9	1	8	6	15	19	12	9	3
259295	10	1	6	1	13	6	3	2	2
259308	6	0	12	22	12	9	7	10	3
25937	4	0	12	16	11	30	9	11	1
2596	0	0	13	27	8	31	3	9	10
25961	9	3	31	5	20	21	22	16	24
25983	2	37	40	4	6	25	103	11	20
25984	8	0	17	29	11	9	9	12	18
26	3.5	0	17	12	9	34	3	8	13
260293	7.5	0	11	15	12	8	6	19	8
260341	10	0	13	20	14	7	8	10	17
26037	10	29	16	4	23	13	6	8	1
26045	10	0	13	7	14	9	6	9	7
26049	9	0	12	22	7	6	3	17	8
26070	8	0	14	26	12	8	10	15	19
26077	0	0	15	35	7	35	8	17	15
26103	5	0	15	28	13	7	10	11	16
26115	9	0	5	20	11	3	9	13	1
26148	10	8	14	5	30	8	6	8	11
26154	7	0	9	23	12	4	5	11	20
26157	0	5	26	7	9	40	13	7	6
26167	6	0	12	19	10	16	8	26	15
261729	6	0	14	22	9	6	9	14	15
26184	6.5	0	60	11	9	66	5	14	11
26188	7	0	12	14	12	8	10	13	4
26189	7	0	8	27	14	9	4	14	2
26191	0	63	35	2	7	29	39	2	1
26211	5	0	13	17	16	9	3	9	12
26219	7	0	7	25	7	7	6	12	5
26222	10	1	9	27	9	9	7	9	22
26228	0	49	31	4	6	30	17	3	5
26239	6.5	0	20	18	11	7	8	13	16
26245	8	0	11	12	13	13	8	12	6
26247	8	0	8	10	15	11	7	14	1
26248	8	0	16	24	10	8	7	13	13
26249	1	2	25	13	11	43	14	6	16
26253	4	0	10	29	8	25	6	20	17
26254	9	0	17	10	10	11	5	7	19
26255	10	0	10	13	20	5	8	21	10
2626	0	0	12	38	14	17	7	12	12
26266	9	0	14	22	10	10	8	9	16
26267	8	11	9	3	18	26	6	7	3
26278	4	4	16	28	11	37	6	8	20
26279	9	2	26	7	11	46	9	6	14
26285	8	0	7	15	10	6	5	10	14
26287	10	0	14	11	14	32	4	8	29
2629	0	8	30	6	9	39	85	4	20
26290	8	0	14	31	13	12	12	9	28
26291	10	0	12	29	11	13	5	18	18
2630	10	3	12	5	38	25	6	5	16
2633	1.5	0	11	7	10	34	5	7	9
26333	6	0	14	28	8	16	7	11	9
26338	3.5	0	10	13	7	7	5	14	7
2634	9	19	9	14	9	13	4	7	20
26343	7	0	8	11	8	7	4	14	6
2635	0	3	11	8	7	36	21	4	14
26353	4	0	14	28	15	8	5	18	17
26471	8	0	13	25	16	7	8	11	18
26476	6	0	10	23	10	5	5	10	1
26492	8	0	9	18	9	7	5	12	5
26493	7.5	0	13	24	10	8	12	18	18
26496	8	0	13	25	13	9	8	21	12
2650	8	0	10	19	10	10	4	5	8
26509	2	0	10	22	8	54	12	8	18
2651	10	6	12	27	14	9	7	20	15
26519	0	11	47	2	8	50	78	4	32
26523	10	11	9	16	8	9	9	12	21
26525	8	0	11	28	10	7	6	10	22
26526	8	0	14	17	11	11	8	11	17
26532	7.5	0	11	23	7	6	11	23	12
26533	8	0	13	25	12	9	7	20	18
26534	8	0	12	19	10	7	4	12	11
26579	3	0	21	10	7	46	8	6	23
2658	8	0	20	30	17	9	11	9	21
26648	8	0	11	18	9	6	10	18	17
26658	8	0	17	24	11	10	8	12	17
26659	9	0	18	19	10	10	5	10	19
266629	6	0	16	31	9	11	7	10	15
26664	8	0	10	20	9	7	9	10	7
266747	10	5	13	10	25	8	7	11	15
266812	7	4	27	8	24	22	58	10	13
26682	8.5	0	2	4	2	1	1	1	1
26686	7	0	13	20	12	6	7	12	2
26689	10	0	9	27	10	7	8	13	15
266917	4.5	0	11	13	8	4	10	11	2
266919	6.5	0	8	6	4	4	8	4	7
26693	8	0	11	25	14	14	6	22	16
26696	9.5	0	13	12	14	5	6	8	4
266971	8	2	15	19	13	8	8	16	16
266977	3	0	3	11	7	8	2	8	1
267012	3.5	0	15	15	9	6	6	8	2
267020	10	0	10	9	20	20	6	10	19
26735	2.5	0	15	20	15	8	6	12	7
26737	7.5	0	9	21	11	7	5	8	10
26740	6.5	0	12	19	14	7	6	10	7
26762	9	0	14	29	8	5	9	16	14
26769	0	21	17	7	29	38	7	6	8
26770	0	20	17	5	27	38	4	3	4
26771	9	31	10	4	37	18	3	5	13
26772	0	4	24	4	37	53	9	4	11
26773	0	13	24	4	37	52	13	4	19
26774	0	30	17	5	27	38	4	3	4
26775	10	14	8	7	36	39	8	6	19
26776	10	3	16	8	45	17	11	8	17
26777	10	3	13	7	45	12	7	8	17
26780	2	6	23	7	36	65	12	6	23
26781	7.5	65	26	7	45	72	5	5	18
26782	8	9	18	6	34	37	8	4	16
26783	3	4	23	5	45	62	7	7	13
26785	10	8	10	6	45	10	5	4	18
26786	10	14	11	9	43	9	11	7	19
2679	9	0	25	8	12	57	6	10	20
26796	9	1	1	3	4	4	2	4	1
26798	6	4	18	7	29	32	37	5	9
26802	0	41	17	7	29	38	7	6	4
26804	0	33	18	3	42	41	23	4	16
26805	0	18	18	2	30	41	66	3	5
26806	0	21	31	3	27	38	38	5	16
26809	0	5	24	4	37	53	9	4	14
26810	10	0	12	9	42	7	7	10	21
26813	8	28	12	9	41	33	6	14	13
26815	6	47	22	9	41	35	21	11	12
26821	6	0	25	7	23	31	4	5	17
26824	0	1	65	8	7	48	31	4	16
26828	8	0	6	20	5	5	9	7	1
26829	9	0	10	17	8	9	5	13	10
269	10	0	16	13	10	9	6	6	19
2691	8	0	11	25	9	8	7	11	15
2692	7	0	9	18	11	9	8	16	21
2694	7	0	14	26	13	8	6	11	10
2695	9	0	13	27	12	7	8	13	24
26953	0	26	35	8	7	41	79	7	12
2696	0	0	19	30	9	57	19	9	18
2697	1	0	15	23	17	30	14	19	23
26974	6	0	12	31	19	7	7	31	20
26998	9	0	8	33	11	8	7	10	10
270	9	0	12	23	12	5	6	6	15
27004	8	2	16	16	12	12	7	15	18
2702	7	0	13	35	15	19	9	11	17
2703	8	0	13	25	9	7	7	11	15
27032	0	14	14	19	12	16	5	7	16
27033	0	60	90	2	8	56	84	5	17
27036	7	0	13	25	10	11	8	12	22
27063	10	0	12	14	10	8	7	8	4
27065	4	0	15	36	12	47	5	23	10
27071	0	17	45	4	9	66	66	7	14
27072	0	12	46	7	9	36	159	8	15
2709	7	0	16	26	15	6	5	13	25
27094	6	3	15	32	13	28	6	12	25
27099	10	1	10	7	22	14	8	6	3
27111	9	0	20	9	24	22	5	7	24
27115	2.5	4	43	7	8	33	40	5	16
2712	8	0	8	15	9	5	3	17	9
27121	9	0	15	16	21	30	5	10	14
27128	0	25	41	4	16	66	120	4	22
2713	10	0	16	9	21	8	7	6	13
27133	8	0	14	16	10	6	8	16	17
27134	8	0	16	31	8	10	6	15	18
27152	1	0	21	27	10	20	11	23	10
27159	9	0	12	10	12	10	6	8	2
27177	8	0	12	20	15	7	8	13	17
27178	4	0	16	22	8	8	6	14	14
27179	8	0	14	22	13	8	9	10	4
27181	9	0	13	29	17	9	6	11	18
27184	8	0	11	13	13	5	6	10	2
27198	10	0	15	18	11	26	7	9	24
27202	8	0	14	23	12	7	7	11	18
27233	5	0	18	26	14	9	10	10	18
27240	0	20	42	4	10	53	82	4	16
27249	0	42	78	6	6	22	118	2	20
27254	8	0	19	31	11	7	8	6	24
27286	8	0	4	17	9	4	2	9	12
27289	0	1	40	12	7	49	88	6	16
27290	10	0	14	15	14	8	6	7	20
27293	4	0	18	23	14	42	8	8	17
27296	10	1	14	12	19	11	5	12	19
27299	2	0	11	1	6	38	6	4	1
27302	9	0	9	15	10	7	9	9	3
27303	0	0	24	27	11	13	11	12	1
27306	6.5	0	8	9	8	2	2	3	4
27314	0	26	82	4	7	30	135	4	16
27329	10	0	4	2	4	3	1	3	1
27350	3	65	57	6	16	48	72	7	22
2742	1	0	4	6	5	9	4	4	4
27430	8	27	21	9	6	24	23	5	14
27437	7	0	11	11	7	3	5	9	14
27440	9	6	14	12	15	10	6	8	18
27442	10	0	21	11	10	29	6	7	18
27443	9	0	13	25	13	11	6	12	16
2745	0	0	21	7	6	56	72	6	19
2760	0	33	48	4	9	44	90	5	19
2780	9	0	14	23	8	8	8	8	2
2791	0	0	13	25	8	57	17	10	22
2792	10	0	10	12	6	7	5	11	14
2793	0	0	12	35	10	29	11	9	14
2796	10	1	4	6	26	5	4	9	4
2798	10	0	2	12	9	5	5	9	2
280655	10	0	13	10	19	7	9	8	19
280658	10	0	9	10	5	4	4	9	7
280659	10	0	7	10	9	6	4	6	14
280664	3	0	14	25	10	6	9	11	10
2811	10	3	16	11	14	9	5	11	14
2813	8.5	0	13	20	9	8	8	12	5
2819	7	0	22	17	21	23	6	8	17
2822	10	3	16	8	23	12	7	7	15
28234	8	0	10	11	13	6	9	13	17
2825	6.5	0	8	19	12	9	6	8	10
282566	8	2	13	3	13	37	6	7	4
282618	8	0	18	23	18	13	9	11	21
282706	7	0	7	15	8	6	10	10	3
282763	8.5	0	8	17	10	6	5	7	1
2829	9	0	9	14	7	10	8	31	2
282980	8.5	0	12	13	11	13	8	7	15
283011	9.5	0	10	6	12	3	7	6	13
283033	8	0	9	8	13	6	7	12	15
283038	5	0	19	26	13	6	10	10	17
283070	10	18	13	9	17	8	8	9	15
283092	0.5	0	1	12	7	6	4	13	1
283102	8	0	12	29	12	16	8	8	22
283106	7	21	10	19	10	9	5	12	12
283111	4	0	10	14	10	6	10	8	7
283116	7	0	11	15	8	8	8	10	1
283152	7	0	12	16	8	23	7	8	13
283159	8	0	8	10	15	8	6	9	1
283160	5	0	10	12	16	6	6	10	2
283162	8	0	8	16	7	7	8	15	18
283174	9	0	13	12	10	7	11	12	16
283189	6	0	9	14	13	4	8	16	5
283194	0	3	60	4	8	47	63	8	7
283197	9	0	13	24	10	7	7	18	14
283238	8	0	23	19	8	7	6	15	12
283267	10	8	17	11	36	7	7	11	14
283284	9	0	12	22	10	12	6	8	25
283297	6.5	0	14	19	14	7	7	13	14
283298	10	0	16	12	13	9	10	6	23
283299	8	0	13	21	11	6	6	12	10
283314	0	2	48	4	6	58	83	10	18
283332	9.5	0	16	24	16	18	5	11	23
283345	10	3	11	7	37	10	5	7	29
283365	6	0	9	13	5	4	3	8	12
283375	10	0	13	7	21	22	6	7	19
283377	0	6	51	4	14	49	115	6	24
283383	4	0	14	36	10	24	6	8	17
283403	6	0	11	21	11	8	4	11	15
283404	6	0	11	21	11	8	4	11	16
283420	9	0	9	23	8	11	6	15	11
283422	8	0	9	16	19	7	6	21	2
