CPGfrac	RPKM	H3K27ac	H3K27me3	H3K36me3	H3K4me1	H3K4me3	H3K9me3	Input
100505540	8	0	16	33	11	12	9	11	17
100505545	8	0	11	16	6	19	5	6	1
100505566	9	0	19	7	4	64	10	3	11
100505576	10	4	19	9	14	22	6	5	21
100505583	5	0	12	15	12	7	5	13	12
100505591	10	0	16	13	10	32	6	9	16
100505624	10	16	11	6	38	8	4	7	18
100505633	9	0	9	23	9	4	8	14	14
100505658	9	0	37	4	14	20	5	7	17
100505659	7	0	13	25	10	7	6	17	2
100505696	8	76	13	5	21	11	4	7	5
100505702	6	0	12	6	8	24	5	9	11
100505716	10	1	10	7	31	8	4	7	15
100505724	4.5	0	18	23	10	6	4	13	11
100505753	3	0	48	8	7	54	13	9	24
100505768	9	0	12	9	20	16	10	13	13
100505776	7	0	10	8	14	6	6	10	9
100505782	8.5	0	8	22	14	7	9	9	6
100505795	5	0	11	20	12	8	8	16	7
100505812	6	3	59	5	12	58	86	6	12
100505817	8	0	9	17	9	10	5	11	18
100505835	6	0	16	10	9	9	8	15	18
100505839	8	0	19	31	10	14	5	11	18
100505841	8	0	10	16	7	3	7	9	22
100505875	3.5	0	6	9	4	7	6	5	9
100505912	7	0	10	12	11	7	6	12	5
100505918	6.5	0	9	18	9	8	6	9	6
100505929	7.5	0	16	19	13	8	10	14	14
100505964	7	0	11	16	13	7	6	10	25
100505967	4	0	13	7	3	4	3	10	9
100505978	8	0	12	20	11	7	8	11	14
100505989	7	0	13	14	9	5	9	20	10
100506013	0.5	0	1	17	10	7	4	10	1
100506025	9.5	0	15	8	10	5	9	6	13
100506035	5	0	12	15	13	12	6	11	13
100506046	1	5	25	7	29	30	7	6	17
100506050	6.5	0	13	12	11	6	9	16	4
100506070	10	1	14	8	27	7	8	8	17
100506071	9	10	20	9	27	11	4	8	11
100506085	8	0	11	18	12	10	6	6	14
100506124	10	3	4	5	13	8	7	10	12
100506134	10	0	6	5	22	3	6	4	3
100506136	9	0	15	7	13	34	8	10	6
100506172	8	0	11	18	15	9	6	10	8
100506178	0	0	19	30	7	24	5	10	11
100506195	7	0	12	16	11	7	12	15	16
100506229	9	0	17	22	14	13	7	13	18
100506233	0	4	82	4	7	30	135	4	16
100506241	8	0	19	23	11	6	6	16	11
100506274	7	0	3	12	4	7	7	8	1
100506305	9	0	14	15	13	10	8	18	14
100506314	10	0	13	15	21	8	5	10	14
100506321	10	4	10	8	35	11	6	7	7
100506384	5	0	16	24	18	13	9	17	14
100506385	8	0	12	19	10	31	6	6	17
100506393	6.5	0	11	16	5	6	7	8	8
100506403	6.5	0	16	28	11	7	7	8	4
100506412	7	0	7	11	17	8	5	10	4
100506433	5	0	11	10	7	8	4	11	15
100506462	10	0	13	11	9	19	6	4	8
100506474	7	0	11	18	7	10	8	10	2
100506475	5	0	8	15	13	10	8	17	2
100506492	8	0	15	14	14	8	7	9	20
100506497	8	0	17	19	11	6	7	21	11
100506499	8	1	47	6	12	61	8	7	23
100506540	10	7	13	15	12	12	7	9	21
100506548	9	8	12	5	30	10	7	6	14
100506599	9	0	13	22	13	9	8	13	19
100506650	7	0	9	20	11	9	4	10	3
100506655	10	0	15	7	29	9	6	8	19
100506677	7	0	11	17	16	7	9	13	11
100506680	10	0	20	13	12	14	7	11	19
100506688	4	0	15	23	12	9	7	10	13
100506730	10	1	13	13	19	7	5	36	13
100506733	6	0	20	18	8	8	7	13	10
100506736	0	3	38	4	7	36	31	2	10
100506742	1.5	0	12	5	5	17	13	3	3
100506759	9	0	9	14	10	5	9	8	8
100506765	3	0	14	18	11	2	5	9	1
100506776	9	2	20	7	9	47	6	7	18
100506795	10	0	13	11	9	9	4	9	12
100506801	0	2	87	3	6	55	43	2	18
100506810	0	0	58	4	7	63	22	7	15
100506840	9	0	14	26	12	10	5	14	12
100506866	8	5	34	5	16	36	60	15	26
100506895	8	0	13	25	12	9	6	9	12
100506898	9	2	6	10	9	3	5	9	14
100507027	3.5	0	14	22	14	6	8	8	6
100507034	10	6	14	12	36	8	7	7	17
100507062	9.5	4	1	4	4	12	3	2	1
100507064	6.5	0	14	30	10	11	6	16	13
100507066	10	1	20	8	26	32	10	6	22
100507091	7	1	46	6	15	89	10	6	20
100507096	8	0	10	26	10	8	6	7	16
100507117	10	0	16	9	22	7	8	7	13
100507118	10	5	13	8	31	10	8	9	12
100507127	6	0	14	19	11	19	4	13	11
100507140	9	0	13	28	13	5	7	13	18
100507156	9	0	19	10	21	41	7	9	20
100507173	6.5	1	46	14	9	41	133	8	20
100507178	9	1	15	9	22	16	7	7	20
100507194	9	0	22	23	10	15	5	24	19
100507203	5	0	9	20	9	5	9	12	9
100507205	2	0	14	11	8	17	6	18	4
100507206	7	0	15	14	9	7	7	8	4
100507244	6	0	14	31	10	6	9	8	8
100507254	5	0	1	13	7	6	4	4	1
100507300	8	0	12	10	19	12	7	7	11
100507341	9	1	7	3	19	13	3	3	5
100507346	0	0	21	31	11	32	6	19	18
100507351	9	0	15	30	10	14	7	12	15
